哦！我被选中了！,开心
你知道吗？国防老师今年已经四五十岁！,惊讶
我好像被我喜欢的人讨厌了。,平静
他们是不是吵架了？不会打起来吧？,平静
干！他真的有够恶心，卫生习惯有够差。,厌恶
为什么我的便当里全是青椒啊！真的是很讨厌吃青椒的！,厌恶
这个星期要去图书馆吗？,平静
我刚刚在公园看到一只会说话的鸽子！,惊讶
你想不想去吃午饭？,平静
我的小组成员一个都没干活！真后悔跟他一起组队。,生气
你知道吗？我们班有人交了女朋友！,惊讶
我感觉我好像要被当了...,伤心
我昨天梦到有一只超大蜘蛛在追着我跑！,平静
今年的夏天似乎比较晚来。,平静
有人竟然在交换礼物时送小番茄？,惊讶
我刚刚看到有人眉毛像蜡笔小新！,惊讶
又到今年的圣诞节了！,开心
今天我和我朋友吵架了。,伤心
我刚刚在路上看到一个长得像明星的人！,惊讶
我几天身体好像有点不太舒服，肚子好痛。,伤心
今天去的那家餐厅真的很脏。,厌恶
有人说我胖！该死！,生气
你知道吗？他们竟然分手了！,惊讶
有人背后说我的坏话！,生气
我最喜欢的咖啡厅要关了。,伤心
他们两个竟然牵手了！,惊讶
这次圣诞节礼物抽到了盗版东西，烦死人了。,厌恶
这部电影的特效真的很差。,厌恶
有人正在网络上盗用我的照片！,生气
哎，我不小心吃到了肉！,平静
我感觉我快要挂了...,平静
我明天要去见未来的公公婆婆，好紧张...,平静
我最喜欢的作家去世了...,伤心
我这个星期就要出国旅行了！,开心
我刚刚坐在了我好朋友旁边！,开心
我妈妈终于让我养狗了！,开心
我刚发现我家后院有一棵会结果的苹果树哎！,惊讶
听说我们科里有老师要退休了。,惊讶
这次表演我犯了一个超级大的错误，我失败了。,伤心
我的同学一直嘲笑我的饮食习惯。,生气
你认为人工智能会影响我们的工作吗？,平静
我终于存到钱买了一台新相机！,开心
今天的天气真的很闷。,厌恶
我终于弄懂了基本电学！,开心
今天你要不要去骑自行车？,平静
我们今天班际篮球赛赢了！！！,开心
我终于写出了这个程序！,开心
你觉得我今天有什么不同？,平静
最近好像有台风要来了！,惊讶
你认为今年的流行趋势会是什么？,平静
有人对公交车上的老人不礼貌！,生气
我刚刚收到了大学录取通知书！,开心
你认为未来的交通工具会是什么样子？,平静
我刚刚在抽屉里发现了一张旧彩票，竟然中了大奖！,惊讶
今天老师骂了我。,伤心
为什么他们能背后这样批评人，真是不礼貌。,生气
明天就要比赛了，真的很紧张。,平静
黑豹的演员去世了...,伤心
你认为我今年有可能中彩票吗？,平静
这个老师的规定也太奇怪了吧。,厌恶
这家店的衣服质量真的很差，穿没几次就坏了。,厌恶
有人正在网上散布我的个人信息！,生气
昨天骑自行车的时候，我差一点就被车撞了。,平静
我养了三年的鱼今天死了...,伤心
我明天要坐云霄飞车，但我很怕高...,平静
这个网红的行为真的很令人厌恶。,厌恶
你认为学习一门新语言重要吗？,平静
我的最好朋友要移民了，以后可能很难见面了。,伤心
我的论文被东方新闻接受了！,开心
我刚刚中了彩票，虽然只有1000块钱！,开心
我养了十年的盆栽今天枯萎了。,伤心
这个周末要做专项报告，我很担心报告做不好。,平静
我昨天和陈安羽吵架了，现在很难过。,伤心
你知道吗？他竟然考上了台科大！,惊讶
今天的午餐味道很奇怪，有点想吐。,厌恶
你认为我应该怎么做才好？,平静
有人公共场所乱扔垃圾！,生气
有人偷了我辛苦种植的花！,生气
我今天终于拿到了我的毕业证书！,开心
这份报告真的是太差了。,厌恶
我刚刚收到了一封很好的消息！,开心
我好像听到房子里有奇怪的声音...,平静
我今天计划去超市。,平静
这件外套穿起来很不舒服，我真的受不了。,厌恶
我最喜欢的餐厅因为疫情关门了...,伤心
你认为未来人类会移民火星吗？,平静
你认为人工智能会取代艺术家吗？,平静
我对明天的面试真的很紧张，很怕没能通过。,平静
我觉得现在这种情况真的很危险。,平静
我刚刚在后院发现了一个古老的时间胶囊！,惊讶
这家餐厅的卫生条件真的很差。,厌恶
我刚刚在街上遇到了我的偶像！,惊讶
那个人竟然在我说话的时候打断我，有够白痴！,生气
下班后要不要一起去吃饭？,平静
今天需要进行一些整理工作。,平静
我真的觉得一切都不顺利。,伤心
你竟然一次就解出了这么难的题！,惊讶
这部电影的剧情真的不知道在演什么。,厌恶
我今天买到了我很想看的书。,开心
我很担心即将到来的考试会很糟糕。,平静
我竟然忘了今天是我们的周年纪念日！,惊讶
我刚刚完成了一个大项目，感觉一身轻。,开心
我已经告诉他很多次了，他还是不断地做错。,生气
你认为这个主意怎么样？,平静
有人冒充我在网上诈骗！,生气
这个政客的言论真的是非常令人反感。,厌恶
我听说附近可能有食人鱼出没...,平静
为什么那么多人只会拖延，让我什么都做不了！,生气
我的猫今天走失了，我很担心它。,伤心
我真的很想放假，我不想再回到那个环境了。,伤心
今天我又没有考好，真的很失望。,伤心
我刚刚在旧衣服口袋里找到一张中奖彩票！,惊讶
我终于完成了我的第一本小说！,开心
最近工作压力很大，我担心自己做不好。,平静
我竟然在海洋广场遇到了我中学同学！,惊讶
为什么每次都是我最后一个被通知？,生气
今天有人插队，真是太不愉快了！,生气
最近的工作进展很糟糕，我感觉自己越来越缺乏信心。,伤心
我对这种从未见过的状况感到非常不安。,平静
我最近感觉天在对我不公平。,伤心
我的宠物狗刚刚学会了一个新把戏！,开心
我终于完成了这个项目，太开心了！,开心
我刚刚发现我家附近有一个秘密的地下隧道！,惊讶
今天我们一起去看电影吗？,平静
哇，他竟然在一天内就完成了这么多事情！,惊讶
为什么每次都是我被骂？,生气
这家咖啡馆的咖啡真的很难喝。,厌恶
你想听一个好消息！,开心
我周末可以做什么？,平静
这个周末要不要一起去公园散步？,平静
那家餐厅的食物真的很难吃，让我整天心情都不好。,厌恶
我竟然在路上看到一只熊！,惊讶
今天的天气怎么样？,平静
干！沈浩霖总是打断我说话。,生气
我觉得我最近的努力都没有得到回报。,伤心
我今天升为主管，太高兴了！,开心
我已经预订了我们下周要住的酒店啦！非常期待！,开心
我的狗生病了，我很担心它。,伤心
我刚刚发现我的老同学现在变成了明星！,惊讶
我刚刚完成了一个很重要的项目。,开心
我刚刚吃到一个噁心的汉堡，吃下去真的让我差点吐出来。,厌恶
我计划下周去旅行。,平静
我非常不高兴王郁洁，他总是把工作推给我！,生气
昨天半夜的时候我听到奇怪的声音，我有点害怕。,平静
今晚吃什么好呢？,平静
我刚刚看到一只猫从树上跳下来，还没事呢！,惊讶
我最近压力很大，感觉很累。,伤心
我今天去了一家餐厅，天啊！服务态度超差！,厌恶
我最近感觉自己做什么都很不顺，有点没自信。,伤心
最近工作一直不顺利，觉得好累。,伤心
我最近学会了一件新事物，有点爽。,开心
为什么我的意见总是被忽略？,生气
我最近真的觉得生活失去了方向。,伤心
最近听说公司要裁员，我很担心自己会被影响。,平静
我真的是受不了了，每次都是我加班，其他人都不做事！,生气
